Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
188,Game Boy Camera,Little Mermaid II: Pinball Frenzy,Rugrats: Castle Capers,Panzer Tactics DS,Samurai Warriors Chronicles,Airport Mania: First Flight,Trojan,Sailor Moon: Another Story,"Hey You, Pikachu!",Rayman 3: Hoodlum Havoc,WWE SmackDown vs. Raw 2011,Transformers: Rise of the Dark Spark,Hotline Miami Collection,,Great Football,World Series Baseball,Jammit,,Night Trap 32X CD,Shinobi Legions,ESPN International Track & Field,Monster Rancher,R-Type Final,Akiba's Trip: Undead & Undressed,Burnout Paradise Remastered,NBA 2K10,Earth Defense Force 2017 Portable,Super Off Road,Beyond Shadowgate,,Quest for Glory II: Trial by Fire,Fruit Search,Hary Fox,Arkanoid,
189,X (Game Boy),Magical Chase GB,SpongeBob SquarePants: SuperSponge,Tom Clancy's EndWar,Hatsune Miku: Project Mirai DX,G.G Series: Great Whip Adventure,Twin Cobra,Radical Dreamers,Dr. Mario 64,Rayman Arena,Mortal Kombat: Armageddon,How to Train Your Dragon 2,Towerfall,,World Cup Soccer,Triple Play 96,Judge Dredd,,Nobunaga's Ambition,Space Hulk: Vengeance of the Blood Angels,Jeremy McGrath Supercross 2000,Twisted Metal: Small Brawl,Taiko: Drum Master,Siren: Blood Curse,Nickelodeon Kart Racers 3: Slime Speedway,NBA 2K11,Earth Defense Force 2: Invaders from Planet Space,Road Rash,Deep Blue,,Quest for Glory III: Wages of War,Galivan,Guru Logic,Arkanoid: Revenge of DOH,
190,Animaniacs,Magical Drop,Finding Nemo,Civilization Revolution,Rhythm Thief & the Emperor's Treasure,G.G Series: Shadow Army,Uninvited,Mega Man & Bass,Earthworm Jim 3D,Tak and the Power of Juju,Spectrobes: Origins,Penguins of Madagascar,Guacamelee! Super Turbo Championship Edition,,Great Soccer,World Cup USA 94,Junction,,Pyramid Magic,Sky Target,Ducati World Racing Challenge,Twisted Metal III,Guilty Gear XX,Need for Speed: Shift,Project Cars 2,Madden NFL 09,Operation Abyss: New Tokyo Legacy,Supercars,Fighting Street,,Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals,Ganbare Goemon,Meikyuu Shinwa,Qix,
191,The Addams Family,Mat Hoffman's Pro BMX,Finding Nemo: The Continuing Adventures,Spore Creatures,Shinobi,G.G Series: The Spiky Blowfish!!,Vice: Project Doom,Front Mission: Gun Hazard,Daikatana,Tak 2: The Staff of Dreams,Samba de Amigo,Monster High: 13 Wishes,Shantae and the Seven Sirens,,Great Baseball,PGA Tour Golf II,Kinetic Connection,,Quiz: Tonosama no Yabou,Solar Eclipse,Flag to Flag CART Racing,Twisted Metal 4,Guilty Gear Isuka,Ratchet & Clank Future: Tools of Destruction,Redout,Madden NFL 10,Operation Babel: New Tokyo Legacy,Jimmy White's Whirlwind Snooker,Final Lap Twin,,Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,Ghost House,Nayuta no Kiseki,Space Invaders,
192,Wendy: Every Witch Way,Megami Tensei Gaiden: Last Bible,The Incredibles,MySims,Crush3D,G.G Series: Assault Buster,Wario's Woods,Pop'n TwinBee: Rainbow Bell Adventures,Carmageddon 64,Ty the Tasmanian Tiger,Tetris Party Deluxe,Barbie Dreamhouse Party,Owlboy,,American Baseball,Greatest Heavyweights,Last Action Hero,,Shadow of the Beast,Star Fighter,Monaco Grand Prix,Warhawk,Virtua Fighter 4,MotorStorm,WRC 7,Madden NFL 11,Dungeon Travelers 2,Archer Maclean's Pool,Gain Ground SX,,Leisure Suit Larry 6: Shape Up or Slip Out,Girly Block,Venom Strikes Back,The Fairyland Story,
193,Last Bible,Men in Black: The Series,Cars,MySims Kingdom,Tom Clancy's Ghost Recon Shadow Wars,G.G Series: Ninja Karakuri Den,Wayne Gretzky Hockey,Gunman's Proof,Dark Rift,Ty the Tasmanian Tiger 2: Bush Rescue,Guilty Gear XX Accent Core,Hello Kitty Kruisers,Scott Pilgrim vs. The World: The Game,,Reggie Jackson Baseball,Evander Holyfield's Real Deal Boxing,Marko's Magic Football,,Sherlock Holmes: Consulting Detective Vol. III,Tunnel B1,F1 World Grand Prix,Colony Wars: Vengeance,Dead or Alive 2: Hardcore,MotorStorm: Pacific Rift,Dakar 18,Virtua Tennis: World Tour,Criminal Girls: Invite Only,California Games,Galaxy Fraulein Yuna,,Simon the Sorcerer,Golvellius,Yuureikun,Don Doko Don,
194,Revelations: The Demon Slayer,Winnie the Pooh: Adventures in the 100 Acre Wood,Madagascar,Sonic Colors,Resident Evil: The Mercenaries 3D,Kung Fu Dragon,Wrecking Crew,Cotton 100%,Mace: The Dark Age,Ty the Tasmanian Tiger 3: Night of the Quinkan,Samurai Shodown Anthology,Funky Barn,No More Heroes,,Great Basketball,WWF WrestleMania: The Arcade Game,Moldorian,,Silky Lip,Wing Arms,F1 World Grand Prix II,G-Police,Mortal Kombat: Deception,Heavenly Sword,Gravel,Virtua Tennis 3,Criminal Girls 2: Party Favors,Winter Games,Galaxy Fraulein Yuna 2,,Simon the Sorcerer II,Gondola,Zexas Limited,Growl,
195,Tail Gator,Micro Machines 1 and 2: Twin Turbo,Shrek 2,Mega Man Battle Network 5: Double Team DS,Ridge Racer 3D,Absolute Baseball,Xevious,Magical Drop 2,Dual Heroes,Scooby-Doo! Night of 100 Frights,Castle of Shikigami III,Family Party: 30 Great Games Obstacle Arcade,No More Heroes 2: Desperate Struggle,,Basket Ball Nightmare,WWF Royal Rumble,Ninku,,Soulstar X,Panzer General,Spirit of Speed 1937,Future Cop: L.A.P.D.,Mortal Kombat: Shaolin Monks,Beyond: Two Souls,MXGP Pro,Hot Shots Tennis: Get a Grip,Fate/Extella: The Umbral Star,World Class Leaderboard,Image Fight,,The Legend of Kyrandia,Great Soccer,Nemesis 2 (Gradius 2),Operation Wolf,
196,Alien vs Predator: The Last of His Clan,Micro Machines V3,Ice Age,Mega Man Zero Collection,Pac-Man & Galaga Dimensions,All-Star Air Hockey,Yo! Noid,Far East of Eden Zero,Batman Beyond: Return of the Joker,Scooby-Doo! Mystery Mayhem,"Blast Works: Build, Trade, Destroy",Wipeout 3,Diablo II: Resurrected,,Great Ice Hockey,WWF Raw,NBA Jam Tournament Edition,,Super Strike Trilogy,Master of Monsters: Disciples of Gaia,Super Runabout,Omega Boost,Dragon Ball Z: Budokai 3,Puppeteer,The Grand Tour Game,Def Jam: Fight for NY - The Takeover,MegaTagmension Blanc + Neptune VS Zombies,PGA Tour Golf,It Came from the Desert,,The Legend of Kyrandia: Hand of Fate,Highway Encounter,Teenage Mutant Ninja Turtles,Operation Thunderbolt,
197,Mercenary Force,Mighty Morphin Power Rangers,Lego Star Wars: The Video Game,Retro Game Challenge,Tetris: Axis,Arcade Bowling,Zanac,Dragon View,Hot Wheels Turbo Racing,Scooby-Doo! Unmasked,Fishing Resort,Wipeout: Create & Crash,Wolfenstein II: The New Colossus,,Slap Shot,Lakers versus Celtics and the NBA Playoffs,NBA Action,,Tenchi Muyo! Ryo-Ohki,Blazing Heroes,Vanishing Point,Rage Racer,Dragon Ball Z: Budokai Tenkaichi 3,Tokyo Jungle,Trials Fusion,Fight Night Round 3,Deception IV: The Nightmare Princess,TV Sports Football,Langrisser,,The Legend of Kyrandia: Malcolm's Revenge,Hopper,Xevious: Fardraut Saga,Gun Frontier,
198,Battle Bull,Monster Rancher Battle Card GB,Lego Star Wars II: The Original Trilogy,N+,Doctor Lautrec and the Forgotten Knights,Arcade Hoops Basketball,Zombie Nation,Romance of the Three Kingdoms IV,LEGO Racers,SpongeBob SquarePants: Battle for Bikini Bottom,Cooking Mama: Cook Off,SpongeBob SquarePants: Plankton's Robotic Revenge,The Outer Worlds,,Great Golf,Bulls vs Blazers and the NBA Playoffs,NFL Quarterback Club '96,,The Terminator 2029,Loaded,4 Wheel Thunder,Armored Core: Master of Arena,Naruto: Ultimate Ninja 3,3D Dot Game Heroes,F1 2018,NFL Street 2 Unleashed,Rainbow Moon,Gauntlet II,Legend of Xanadu,,Flight of the Amazon Queen,Hot Shot,Maze of Galious,Grid Seeker: Project Storm Hammer,
199,Go! Go! Tank,Mortal Kombat 4,Lego Bionicle,Spider-Man 2,Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy,Ball Fighter,1942,Fatal Fury Special,Paperboy,SpongeBob SquarePants: The Movie,EA Sports Active,Turbo: Super Stunt Squad,Borderlands Legendary Collection,,Golfamania,College Football USA 97,Pac-Attack,,Tokimeki Mahjong Paradise,Machine Head,POD: SpeedZone,Rollcage,Transformers,Folklore,The Crew 2,FIFA Street 2,Severed,Centurion: Defender of Rome,Legend of Xanadu II,,"I Have No Mouth, and I Must Scream",Ice World,Arcus,Warrior Blade: Rastan Saga Episode III,
200,HAL Wrestling,NASCAR Challenge,Worms World Party,Arkanoid DS,Cooking Mama: Bon Appetit!,Bloons TD,8 Eyes,Nosferatu,Asteroids Hyper 64,Ratatouille,The House of the Dead 2 & 3 Return,The Croods: Prehistoric Party!,Dragon Ball Z: Kakarot,,Great Volleyball,Budokan: The Martial Spirit,Pete Sampras Tennis,,Yuu Yuu Hakusho: Makai no Tobira,Mansion of Hidden Souls,Red Dog: Superior Firepower,Destruction Derby 2,Gungrave,White Knight Chronicles,MotoGP 17,NBA Street Showdown,Yomawari: Night Alone,Deuteros,Makai Prince Dorabocchan,,Discworld,Ikari Warriors,Arcus II: Silent Symphony,Zero Wing,
201,Hammerin' Harry: Ghost Building Company,NBA 3 on 3 Featuring Kobe Bryant,Worms Blast,Space Invaders Extreme,Art of Balance: Touch!,Bridge,A Boy and His Blob,Choplifter III,Midway's Greatest Arcade Hits: Volume 1,Cars,Resident Evil Archives: Resident Evil,Rapala Pro Bass Fishing,Mortal Kombat 11,,Pro Wrestling,Pit-Fighter,Pinball Dreams,,Zoku Yumemi Mystery Mansion,Olympic Soccer,Draconus: Cult of the Wyrm,Road Rash,Gungrave: Overdose,White Knight Chronicles II,Ride 3,Medal of Honor: Heroes 2,Yomawari: Midnight Shadows,Millennium 2.2,Night Creatures,,Little Big Adventure,Jack the Nipper,The Scheme,Fire Shark,
202,Kid Dracula,NBA Hoopz,Army Men Advance,Space Invaders Extreme 2,Sega 3D Classics Collection,Chess Challenge!,Air Fortress,Joe & Mac 2: Lost in the Tropics,Nuclear Strike 64,Finding Nemo,Resident Evil Archives: Resident Evil Zero,Cabela's Dangerous Hunts 2013,Super Monkey Ball Banana Mania,,Back to the Future Part II,Greendog: The Beached Surfer Dude,Power Drive,,Animals!,Quarterback Attack,Blue Submarine No. 6,Road Rash 3D,Dead to Rights,Hyperdimension Neptunia,Horizon Chase Turbo,Coded Arms: Contagion,htoL#NiQ: The Firefly Diary,K240,Order of the Griffon,,Ecstatica,Jet Bomber,Zeliard,Hellfire,
203,Speedy Gonzales,NHL Blades of Steel 2000,Iridion II,Mega Man Star Force 2: Zerker x Ninja,3D Sonic the Hedgehog,Fishdom,Anticipation,SimAnt,Magical Tetris Challenge,The Incredibles,Star Wars: The Force Unleashed,007 Legends,Puyo Puyo Tetris 2,,Back to the Future Part III,Fantastic Dizzy,Rainbow Islands,,Dungeon Master II: Skullkeep,Saturn Bomberman Fight!!,Omikron: The Nomad Soul,Test Drive 5,The Suffering,Hyperdimension Neptunia Victory,Onrush,Field Commander,A Rose in the Twilight,Supremacy: Your Will Be Done,Pomping World,,Where in the World is Carmen Sandiego?,Joust,Psy-O-Blade,Out Zone,
204,Tiny Toon Adventures: Babs' Big Break,Noddy: A Day in Toyland,Iridion 3D,Front Mission,3D Streets of Rage 2,Flametail,Astyanax,Populous,Penny Racers,The Incredibles: Rise of the Underminer,Star Wars: The Force Unleashed II,Fast & Furious: Showdown,Lumines Remastered,,F-16 Fighter,Lemmings,Cheese Cat-Astrophe Starring Speedy Gonzales,,Funky Horror Band,Scorcher,Prince of Persia: Arabian Nights,Vigilante 8,The Suffering: Ties That Bind,Atelier Rorona: The Alchemist of Arland,F1 2020,Chili Con Carnage,Oreshika: Tainted Bloodlines,Castles,Racing Spirits,,Where in Time is Carmen Sandiego?,Kung-Fu Tao,Digital Devil Story: Megami Tensei,Twin Cobra,
205,Tiny Toon Adventures 2: Montana's Movie Madness,Paperboy,Car Battler Joe,Metal Slug 7,Ultimate NES Remix,Frogger Returns,Bad Dudes,Darius Twin,Chameleon Twist 2,Shrek 2,Star Wars: The Clone Wars - Lightsaber Duels,Wheel of Fortune,Taiko no Tatsujin: Drum 'n' Fun!,,F-15 Strike Eagle,Lemmings 2: The Tribes,Riddick Bowe Boxing,,Pro Yakyuu Super League CD,Shellshock,Tee Off,Vigilante 8: 2nd Offense,Legacy of Kain: Soul Reaver 2,Atelier Totori: The Adventurer of Arland,DiRT 4,300: March to Glory,Silent Hill: Book of Memories,Lords of the Realm,Super Air Zonk,,Number Munchers,Labirinto,Fang of Alnam,Flying Shark,
206,Tom and Jerry,Pitfall: Beyond the Jungle,Zone of the Enders: The Fist of Mars,Ninjatown,Yo-kai Watch Blasters: Red Cat Corps,Galactic Racing,Bart vs. the Space Mutants,Biometal,Gex 3: Deep Cover Gecko,Shrek SuperSlam,LEGO Star Wars III: The Clone Wars,Jeopardy!,Fitness Boxing 2: Rhythm & Exercise,,F1,The Lost Vikings,Rise of the Robots,,San Goku Shi III,Slam 'n Jam '96,Cosmic Smash,Micro Machines V3,Legacy of Kain: Defiance,Atelier Meruru: The Apprentice of Arland,F1 2016,Pursuit Force,Akiba's Trip: Undead & Undressed,Pang,Turrican,,Reader Rabbit,Life Force,Laydock,Grind Stormer,
207,Felix the Cat,Pocket Music,Onimusha Tactics,WWE SmackDown vs. Raw 2010,Dr. Mario: Miracle Cure,Go! Go! Island Rescue!,Batman: Return of the Joker,Rendering Ranger R2,Blues Brothers 2000,Over the Hedge,Harry Potter and the Order of the Phoenix,Retro City Rampage DX,Big Brain Academy: Brain vs. Brain,,World Grand Prix,Wiz 'n' Liz,RoboCop versus The Terminator,,Sim Earth,Spot Goes to Hollywood,Frame Gride,RC Revenge,Blood Omen 2,Binary Domain,Riders Republic,Pursuit Force: Extreme Justice,Akiba's Beat,History Line: 1914-1918,Winning Shot,,Math Blaster,Load Runner II,Xanadu,Wardner,
208,World Heroes 2 Jet,Pop'n Music GB,Rebelstar: Tactical Command,Ontamarama,Mario vs. Donkey Kong: Tipping Stars,Hurricane Irvine,Battletoads & Double Dragon,DoReMi Fantasy,Knockout Kings 2000,Madagascar,Harry Potter and the Half-Blood Prince,Game Party Champions,Two Point Hospital,,R.C. Grand Prix,Socket,Scratch Golf,,Vixen 357,The Horde,Gundam Side Story 0079,Nightmare Creatures,Primal,Spec Ops: The Line,Trackmania Turbo,Miami Vice: The Game,Mind Zero,Oh No! More Lemmings,Zipang,,Crystal Caves,Machine Close,Xanadu Scenario II,Demon's World,
209,Super Mario Bros. Deluxe,Power Spike: Pro Beach Volleyball,Fire Pro Wrestling,Lufia: Curse of the Sinistrals,Fluidity: Spin Cycle,Pinpoint,Bible Adventures,Sutte Hakkun,NBA Courtside 2: Featuring Kobe Bryant,Ice Age 2: The Meltdown,Toy Story 3,Hot Wheels: World's Best Driver,Cities: Skylines,,Super Off Road,Awesome Possum,Shaq Fu,,Wonder Library,Torico,Napple Tale,Nightmare Creatures II,Klonoa 2: Lunatea's Veil,Max Payne 3,WRC 9 FIA World Rally Championship,The Simpsons Game,Demon Gaze II,Tetris,Bomberman: Panic Bomber,,Secret Agent,Mad Mix Game (Pac-Man clone),Blaster Burn,Vimana,
210,Ganbare Goemon,Puzzle Master,Fire Pro Wrestling 2,Personal Trainer: Cooking,Steel Diver: Sub Wars,Jewel Keepers: Easter Island,Binary Land,Super Bonk,NBA Live 99,Teenage Mutant Ninja Turtles,Kung Fu Panda,Planes,Subnautica,,Buggy Run,High Seas Havoc,Slider,,Winning Post,True Pinball,Segagaga,Alone in the Dark: The New Nightmare,SpongeBob SquarePants: Battle for Bikini Bottom,Crysis 2,DiRT Rally 2.0,Family Guy Video Game,Exist Archive: The Other Side of the Sky,Klax,Bonze Adventure,,Cosmo's Cosmic Adventure,Magical Kid Wiz,Borfesu to 5-nin no Akuma,Rally Bike,
211,Cave Noire,Quest: Brian's Journey,Wade Hixton's Counter Punch,Art Academy,The Binding of Isaac: Rebirth,Extreme Hangman,Clu Clu Land,Super Bonk 2,NBA Live 2000,TMNT: Mutant Melee,Madagascar Kartz,Cars 3: Driven to Win,PowerWash Simulator,,Fire & Forget II,Risky Woods,Solitaire Poker,,,Virtua Racing,Seventh Cross Evolution,Heart of Darkness,The Simpsons: Hit & Run,Crysis 3,Driveclub Bikes,echochrome,The Caligula Effect,Pipe Mania,Camp California,,Jill of the Jungle,Manbow,Crimson,Ketsui: Kizuna Jigoku Tachi,
212,Maru's Mission,Quest for Camelot,Boxing Fever,Etrian Odyssey III: The Drowned City,Terraria,Lola's Fruit Shop Sudoku,Burai Fighter,Super Fire Pro Wrestling X Premium,NFL Quarterback Club 99,Freedom Fighters,Cabela's Big Game Hunter 2010,Disney Fantasia: Music Evolved,Unpacking,,Spy vs. Spy,Mystic Defender,Sports Trivia,,,Virtual Hydlide,Championship Surfer,Bloody Roar,Ratatouille,Sniper Elite V2,Trials Rising,Lemmings,Summon Night 6: Lost Borders,Puzznic,City Hunter,,Duke Nukem,Marine Battle,Crimson II,Mushihimesama,
213,Ninja Gaiden Shadow,Rally Championship,Pocky & Rocky with Becky,Inazuma Eleven,Minecraft: New Nintendo 3DS Edition,Big Bass Arcade,BurgerTime,Jungle Strike,NFL Quarterback Club 2000,Hitman 2: Silent Assassin,Cabela's Dangerous Hunts 2011,The Smurfs 2,Dorfromantik,,Paperboy,Rastan Saga II,Star Trek: The Next Generation,,,Wolf Fang,The Ring: Terror's Realm,"Sheep, Dog 'n' Wolf",Jak and Daxter: The Lost Frontier,Splinter Cell: Blacklist,Slipstream,Archer Maclean's Mercury,Ray Gigant,Putty,Cobra: Kokuryuuou no Densetsu,,Duke Nukem II,Mask,Crimson III,Deathsmiles,
214,Power Mission,Ready 2 Rumble Boxing,Lady Sia,Inazuma Eleven 2,RPG Maker Fes,Flipper 2: Flush the Goldfish,Casino Kid,WWF Raw,Madden 64,Tom Clancy's Splinter Cell,Rapala Tournament Fishing,Fit Music,Balatro,,Alf,Arrow Flash,Star Trek Generations: Beyond the Nexus,,,WipEout,TrickStyle,Poy Poy,Kingdom Hearts Re:Chain of Memories,Hitman: Absolution,Lonely Mountains: Downhill,Mercury Meltdown,Utawarerumono: Mask of Deception,Super Putty,Cyber Dodge,,Commander Keen: Marooned on Mars,Metro Cross,Euphory,Ibara,
215,Tiny Toon Adventures: Wacky Sports,Road Champs BXS Stunt Biking,CT Special Forces,Dragon Quest Heroes: Rocket Slime,Animal Crossing: Happy Home Designer,Monster Buster Club,Chip 'n Dale: Rescue Rangers 2,Battle Clash,NHL 99,Tom Clancy's Splinter Cell: Chaos Theory,Family Game Night,Pokemon Rumble U,PlateUp!,,My Hero,Twin Hawk,Super Battletank,,,Z,Sno-Cross Championship Racing,Poy Poy 2,Killer7,Payday 2,F1 23,Exit,Utawarerumono: Mask of Truth,Shadow of the Beast III,Cyber Knight,,Zak McKracken and the Alien Mindbenders,Milk Race,Metal Sight,DoDonPachi DaiOuJou,
216,Painter Momopie,Roadsters,Alex Rider: Stormbreaker,LostMagic,Mario & Sonic at the London 2012 Olympic Games,My Notebook,City Connection,Brandish,NHL Breakaway 98,Tom Clancy's Splinter Cell: Pandora Tomorrow,Family Game Night 4: The Game Show,Canvaleon,It Takes Two,,Wanted,Vapor Trail,Super Kick Off,,,Darius II,Street Fighter III: Double Impact,Bomberman World,Haunting Ground,The Darkness,Sprint Vector,Exit 2,Psychedelica of the Black Butterfly,Alien Breed: Tower Assault,Emerald Dragon,,Commander Keen: Aliens Ate My Babysitter,Missile Command,Casablanca ni Ai wo,Raiden,
217,Alfred Chicken,Rox,Polarium Advance,Populous DS,Project X Zone 2,Naval Dungeon,Commando,Brandish 2,Centre Court Tennis,XIII,Monopoly Collection,Abyss,Hogwarts Legacy,,Ghost House,Verytex,Super Return of the Jedi,,,Cotton 2,Rainbow Cotton,Bomberman Party Edition,Rule of Rose,The Darkness II,The Legend of Heroes: Trails of Cold Steel III,Every Extend Extra,Psychedelica of the Ashen Hawk,Gloom,F1 Team Simulation: Project F,,Epic Pinball,Motor Cross,Murder Club,Raiden II,
218,Alien 3,Rugrats: Totally Angelica,The Urbz: Sims in the City,Soul Bubbles,Mario & Sonic at the Rio 2016 Olympic Games,Puffins: Island Adventure,Cocoron,Dragon Ball Z: Hyper Dimension,Waialae Country Club: True Golf Classics,Aggressive Inline,Trivial Pursuit,6180 the moon,Cozy Grove,,Teddy Boy,Zero Wing,True Lies,,,Cotton Boomerang,Sports Jam,Super Puzzle Fighter II Turbo,Clock Tower 3,Rage,The Legend of Heroes: Trails of Cold Steel IV,N+,Collar X Malice,Alien Breed 3D,Final Zone II,,Pinball Fantasies,Mutant Night,Dome,Raiden Fighters,
219,Battle City,Sakura Taisen GB,The Sims: Bustin' Out,GoldenEye: Rogue Agent,Chibi-Robo! Photo Finder,Orion's Odyssey,Dig Dug II,Dragon Ball Z: Super Butouden 2,PGA European Tour,Evolution Worlds,Jeopardy!,99Seconds,Garden Story,,Transbot,Wings of Wor,Tarot no Yakata,,,Detana!! TwinBee Yahoo! Deluxe Pack,Chaos Field,Tetris Plus,Disaster Report,Darksiders,Resident Evil 7: Biohazard,Me & My Katamari,Bad Apple Wars,Second Samurai,Fray CD: Xak Gaiden,,Pinball Dreams,N-Sub,Maison Ikkoku,Raiden Fighters 2,
220,Burai Fighter Deluxe,Samurai Kid,The Sims 2,Might & Magic: Clash of Heroes,Pokédex 3D Pro,Pomme the Dog,Donkey Kong Jr.,Ys III: Wanderers from Ys,Virtual Pro Wrestling 2,Cubivore: Survival of the Fittest,Wheel of Fortune,Blok Drop U,Bear and Breakfast,,Astro Warrior,Sagaia,Populous,,,Game Tengoku: The Game Paradise!,Karous,Bust-A-Move 4,Raw Danger!,Darksiders II,Grand Theft Auto V,Worms: Open Warfare,Period Cube: Shackles of Amadeus,Chuck Rock 2: Son of Chuck,Genji Tsuushin Agedama,,Battle Chess,Night Driver,Tower of Druaga,Raiden Fighters Jet,
221,Chase H.Q.,Snoopy Tennis,Sim City 2000,Aliens: Infestation,Art Academy: Home Studio,Publisher Dream,Donkey Kong 3,Ys IV: Mask of the Sun,ECW Hardcore Revolution,Midway Arcade Treasures,Wipeout: The Game,Meme Run,Chrono Cross: The Radical Dreamers Edition,,Global Defense,Alien Storm,WCW SuperBrawl Wrestling,,,Hyper Duel,Radirgy,Incredible Crisis,Disgaea 2: Cursed Memories,Prototype,Psychonauts 2,Worms: Open Warfare 2,7'scarlet,Prehistorik,Gokuraku! Chuuka Taisen,,Chessmaster 3000,Ninja,Dragon Spirit,Aero Fighters,
222,Cosmo Tank,Aliens: Thanatos Encounter,Super Dodge Ball Advance,Thor: God of Thunder,Art Academy: Lessons for Everyone!,Puzzle Rocks,Dragon's Lair,Castlevania: Dracula X,WCW Backstage Assault,Gotcha Force,Wipeout 2,The Letter,Final Fantasy VII,,Quartet,Cyborg Justice,World Series Baseball '95,,,Keio Flying Squadron 2,Psyvariar 2,Irritating Stick,La Pucelle: Tactics,Prototype 2,Nine Sols,Lego Star Wars II: The Original Trilogy,Norn9: Var Commons,Kid Chaos,Hisou Kihei X-Serd,,Stratego,Ninja Princess,Nobunaga no Yabou: Bushou Fuunroku,Detana!! TwinBee,
223,Daedalian Opus,Star Wars Episode I: Racer,Risk / Battleship / Clue,Plants vs. Zombies,Colors! 3D,Sokomania,Mother,Wrecking Crew '98,Supercross 2000,Ribbit King,The Price Is Right: Decades,Internal Invasion,Final Fantasy IX,,Forgotten Worlds,Two Crude Dudes,Super Smash T.V.,,,Tengai Makyou: The Apocalypse IV,Trizeal,Muppet Monster Adventure,Phantom Brave,Saints Row 2,Star Ocean: Till the End of Time,Lego Batman: The Videogame,Amnesia: Memories,Double Dragon,Nekketsu Koukou Dodgeball-bu,,Ultima VIII: Pagan,Nuts & Milk,Sangokushi II,TwinBee Yahho!,
224,Dead Heat Scramble,Stuart Little: The Journey Home,Scrabble Blast!,Peggle: Dual Shot,Nikoli's Pencil Puzzle,Remote Racers,Felix the Cat,Mario's Super Picross,Top Gear Hyper-Bike,Amazing Island,Deal or No Deal,Sanatory Hallways,Ashen,,Frogger,Sunset Riders,Super Space Invaders,,,Waku Waku 7,Cool Cool Toon,Overboard!,Mega Man X8,Saints Row: The Third,World of Final Fantasy Maxima,Lego Indiana Jones: The Original Adventures,Code: Realize ~Future Blessings~,Double Dragon II: The Revenge,Kyuukyoku Tiger,,Might and Magic II: Gates to Another World,Omega Zone,Suikoden: Tenmei no Chikai,Ajax,
225,Dragon's Lair: The Legend,Super Chinese Fighter GB,Golden Nugget Casino,Bejeweled 3,Picross 3D: Round 2,Snakenoid,Final Fantasy II (Japan),Panel de Pon,Roadsters,Doshin the Giant,Academy of Champions: Soccer,Plenty of Fishies,Banner Saga Trilogy,,Congo Bongo,Mercs,Thunder Blade,,,Taromaru,The Next Tetris: On-Line Edition,Hogs of War,Mega Man X7,Watch Dogs,Octopath Traveler II,Lego Harry Potter: Years 1-4,Hakuoki: Kyoto Winds,The Addams Family,L-Dis,,Wizardry: Proving Grounds of the Mad Overlord,Out Run,Royal Blood,Jackal,
226,Earthworm Jim,Sylvester and Tweety: Breakfast on the Run,Pinball Tycoon,100 Classic Book Collection,Pocket Card Jockey,Snowboard Xtreme,Final Fantasy III (Japan),Super Puyo Puyo 2,Polaris SnoCross,Metal Arms: Glitch in the System,Active Life: Outdoor Challenge,Shadow Puppeteer,Unsighted,,Bank Panic,Forgotten Worlds,Alien Syndrome,,,Baroque,Rent A Hero No. 1,Worms Armageddon,Mega Man Anniversary Collection,Singularity,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Lego Pirates of the Caribbean,Hakuoki: Edo Blossoms,RoboCop 3,Lady Phantom,,Eye of the Beholder III: Assault on Myth Drannor,P-47,Return of Jelda,Time Pilot,
227,Final Reverse,Tamagotchi,Mario Pinball Land,My French Coach,Angry Birds Trilogy,1001 Crystal Mazes Collection,Fire 'n Ice,Super Famicom Wars,Twisted Edge Extreme Snowboarding,I-Ninja,Active Life: Extreme Challenge,Tengami,Prodeus,,Aztec Adventure,James Pond: Underwater Agent,Andre Agassi Tennis,,,Deep Fear,L.O.L.: Lack of Love,Theme Hospital,Castlevania: Lament of Innocence,Shadows of the Damned,Dark Souls II: Scholar of the First Sin,SSX On Tour,Chaos;Child,Jungle Strike,Mad Stalker: Full Metal Force,,Tex Murphy: Mean Streets,Pac-Land,Inindo: Way of the Ninja,Gyruss,
228,Flipull,Taxi 2,Sonic the Hedgehog: Genesis,True Swing Golf,Nintendo Pocket Football Club,Sudoku & Kakuro,Formula One: Built to Win,Majuu Ou,Big Mountain 2000,Rogue Ops,Walk It Out,Wooden Sen'SeY,Ruined King: A League of Legends Story,,Champion Boxing,James Pond 3,Batter Up,,,Guardian Force,Atelier Marie & Elie,SimCity 2000,Castlevania: Curse of Darkness,El Shaddai: Ascension of the Metatron,Death's Door,Tony Hawk's Project 8,Death Mark,Barbarian: The Ultimate Warrior,Mesopotamia,,Tex Murphy: Martian Memorandum,Parade,Genghis Khan II: Clan of the Gray Wolf,Super Contra,
